ID,File,Game_Context,Priority,Difficulty,Japanese_Text,English_Translation,Translation_Notes,Status,Confidence,Offset
VG_T_001,FEV_G_S_03.rtz,COMBAT_TUTORIAL,HIGH,EASY,浸躷㰩簀뀀籥䈀弰褰簰㸀䐰㰰簀籓蜰䘰吰䘰簰㸀鈀㰰簀攀䭑籢欀蔰䘰地蔰簰㸀縰地弰Ȱ蜑䦚<|相手|あいて|>リアガードに、<|自分|じぶん|>のヴァンガードがアタックされた<|場合|ばあい|>の,,,PENDING,0.95,0x5E0E
VG_T_002,FEV_G_S_03.rtz,COMBAT_TUTORIAL,HIGH,EASY,躷㰩簀뀀籥䈀弰褰簰㸀䐰㰰簀籓蜰䘰吰䘰簰㸀鈀㰰簀攀䭑籢欀蔰䘰地蔰簰㸀縰地弰Ȱ蜑䦚<|相手|あいて|>リアガードに、<|自分|じぶん|>のヴァンガードがアタックされた<|場合|ばあい|>の、,,,PENDING,0.95,0x5E10
VG_T_003,tuto_007.rtz,TUTORIAL,HIGH,MEDIUM,䭶籢䈀䐰簰㸀欀笰　　ሀ샿ﰰ렰笰਀笀　　㰀簀฀籎䈀弰簰㸀䠀笰褀谰謰渰Ȱ鼰゚だけど、<|今回|こんかい|>あなたは{$336600}ヴァンガード{$}でアタック,,,PENDING,0.95,0x3B4C
VG_T_004,tuto_007.rtz,TUTORIAL,HIGH,MEDIUM,䭶籢䈀䐰簰㸀欀笰　　ሀ샿ﰰ렰笰਀笀　　㰀簀฀籎䈀弰簰㸀䠀笰褀谰謰渰Ȱ鼰゚だけど、<|今回|こんかい|>あなたは{$336600}ヴァンガード{$}でアタックし,,,PENDING,0.95,0x3B4E
VG_T_005,tuto_007.rtz,TUTORIAL,HIGH,MEDIUM,籢䈀䐰簰㸀欀笰　　ሀ샿ﰰ렰笰਀笀　　㰀簀฀籎䈀弰簰㸀䠀笰褀谰謰渰Ȱ鼰゚だけど、<|今回|こんかい|>あなたは{$336600}ヴァンガード{$}でアタックした,,,PENDING,0.95,0x3B50
VG_T_006,tuto_007.rtz,TUTORIAL,HIGH,MEDIUM,䈀䐰簰㸀欀笰　　ሀ샿ﰰ렰笰਀笀　　㰀簀฀籎䈀弰簰㸀䠀笰褀谰謰渰Ȱ鼰゚だけど、<|今回|こんかい|>あなたは{$336600}ヴァンガード{$}でアタックしたよ,,,PENDING,0.95,0x3B52
VG_T_007,tuto_007.rtz,TUTORIAL,HIGH,MEDIUM,䐰簰㸀欀笰　　ሀ샿ﰰ렰笰਀笀　　㰀簀฀籎䈀弰簰㸀䠀笰褀谰謰渰Ȱ鼰゚だけど、<|今回|こんかい|>あなたは{$336600}ヴァンガード{$}でアタックしたよね,,,PENDING,0.95,0x3B54
VG_T_008,tuto_007.rtz,TUTORIAL,HIGH,MEDIUM,簰㸀欀笰　　ሀ샿ﰰ렰笰਀笀　　㰀簀฀籎䈀弰簰㸀䠀笰褀谰謰渰Ȱ鼰゚だけど、<|今回|こんかい|>あなたは{$336600}ヴァンガード{$}でアタックしたよね？,,,PENDING,0.95,0x3B56
VG_T_009,tuto_007.rtz,TUTORIAL,HIGH,MEDIUM,簰㸀欀笰　　ሀ샿ﰰ렰笰਀笀　　㰀簀฀籎䈀弰簰㸀䠀笰褀谰謰渰Ȱ鼰゚だけど、<|今回|こんかい|>あなたは{$336600}ヴァンガード{$}でアタックしたよね？,,,PENDING,0.95,0x3B58
VG_T_010,tuto_007.rtz,TUTORIAL,HIGH,MEDIUM,㸀欀笰　　ሀ샿ﰰ렰笰਀笀　　㰀簀฀籎䈀弰簰㸀䠀笰褀谰謰渰Ȱ鼰゚だけど、<|今回|こんかい|>あなたは{$336600}ヴァンガード{$}でアタックしたよね？쓁,,,PENDING,0.95,0x3B5A
VG_T_011,tuto_007.rtz,TUTORIAL,HIGH,EASY,搰簰㸀渀쬰쌰젰䰰笰　　ꈀ뼰쌰꼰夰謰㰰簀䈀籦栀䴰簰㸀笀Ā芩㶰ヴァンガードでアタック,,,PENDING,0.85,0x4008
VG_T_012,tuto_007.rtz,TUTORIAL,HIGH,EASY,簰㸀渀쬰쌰젰䰰笰　　ꈀ뼰쌰꼰夰謰㰰簀䈀籦栀䴰簰㸀笀Ā芩㶰ヴァンガードでアタックし,,,PENDING,0.85,0x400A
VG_T_013,tuto_007.rtz,TUTORIAL,HIGH,EASY,㸀渀쬰쌰젰䰰笰　　ꈀ뼰쌰꼰夰謰㰰簀䈀籦栀䴰簰㸀笀Ā芩㶰ヴァンガードでアタックした,,,PENDING,0.85,0x400C
VG_T_014,tuto_007.rtz,TUTORIAL,HIGH,EASY,渀쬰쌰젰䰰笰　　ꈀ뼰쌰꼰夰謰㰰簀䈀籦栀䴰簰㸀笀Ā芩㶰ヴァンガードでアタックした<,,,PENDING,0.85,0x400E
VG_T_015,tuto_007.rtz,TUTORIAL,HIGH,EASY,쬰쌰젰䰰笰　　ꈀ뼰쌰꼰夰謰㰰簀䈀籦栀䴰簰㸀笀Ā芩㶰ヴァンガードでアタックした<|,,,PENDING,0.85,0x4010
VG_T_016,tuto_007.rtz,TUTORIAL,HIGH,EASY,쬰쌰젰䰰笰　　ꈀ뼰쌰꼰夰謰㰰簀䈀籦栀䴰簰㸀笀Ā芩㶰ヴァンガードでアタックした<|時,,,PENDING,0.85,0x4012
VG_T_017,tuto_007.rtz,TUTORIAL,HIGH,EASY,쌰젰䰰笰　　ꈀ뼰쌰꼰夰謰㰰簀䈀籦栀䴰簰㸀笀Ā芩㶰ヴァンガードでアタックした<|時|,,,PENDING,0.85,0x4014
VG_T_018,tuto_007.rtz,TUTORIAL,HIGH,EASY,젰䰰笰　　ꈀ뼰쌰꼰夰謰㰰簀䈀籦栀䴰簰㸀笀Ā芩㶰ヴァンガードでアタックした<|時|と,,,PENDING,0.85,0x4016
VG_T_019,tuto_007.rtz,TUTORIAL,HIGH,EASY,䰰笰　　ꈀ뼰쌰꼰夰謰㰰簀䈀籦栀䴰簰㸀笀Ā芩㶰ヴァンガードでアタックした<|時|とき,,,PENDING,0.85,0x4018
VG_T_020,tuto_007.rtz,TUTORIAL,HIGH,EASY,笰　　ꈀ뼰쌰꼰夰謰㰰簀䈀籦栀䴰簰㸀笀Ā芩㶰ヴァンガードでアタックした<|時|とき|,,,PENDING,0.85,0x401A
VG_T_021,tuto_007.rtz,TUTORIAL,HIGH,EASY,6600}ヴァンガード{$}でアタック,,,PENDING,0.85,0x3BEC
VG_T_022,tuto_007.rtz,TUTORIAL,HIGH,EASY,600}ヴァンガード{$}でアタックし,,,PENDING,0.85,0x3BEE
VG_T_023,tuto_007.rtz,TUTORIAL,HIGH,EASY,00}ヴァンガード{$}でアタックした,,,PENDING,0.85,0x3BF0
VG_T_024,tuto_007.rtz,TUTORIAL,HIGH,EASY,0}ヴァンガード{$}でアタックしたよ,,,PENDING,0.85,0x3BF2
VG_T_025,tuto_007.rtz,TUTORIAL,HIGH,EASY,}ヴァンガード{$}でアタックしたよね,,,PENDING,0.85,0x3BF4
VG_T_026,FEV_G_S_03.rtz,COMBAT_TUTORIAL,HIGH,EASY,⹤整鷲ࢡ獢摟浵祭ꋝꏥ㨋癥湥⽴档⽲歲녟戌彳畤浭役摡੤鿪޹江慯敤ﱲ⋲૊攺敶瑮戯⽧歏쪓┄㈰앤솴◪昺杩瑨戯汴獟慴瑲戯彳慦散╟㐰彤摡⹤整顸Ӻ慦散ᨠ国㸄アタックされたパワーと<|同|おな|>じパワーでガード,,,PENDING,0.85,0x587A
VG_T_027,FEV_G_S_03.rtz,COMBAT_TUTORIAL,HIGH,EASY,整鷲ࢡ獢摟浵祭ꋝꏥ㨋癥湥⽴档⽲歲녟戌彳畤浭役摡੤鿪޹江慯敤ﱲ⋲૊攺敶瑮戯⽧歏쪓┄㈰앤솴◪昺杩瑨戯汴獟慴瑲戯彳慦散╟㐰彤摡⹤整顸Ӻ慦散ᨠ国㸄アタックされたパワーと<|同|おな|>じパワーでガードし,,,PENDING,0.85,0x587C
VG_T_028,FEV_G_S_03.rtz,COMBAT_TUTORIAL,HIGH,EASY,鷲ࢡ獢摟浵祭ꋝꏥ㨋癥湥⽴档⽲歲녟戌彳畤浭役摡੤鿪޹江慯敤ﱲ⋲૊攺敶瑮戯⽧歏쪓┄㈰앤솴◪昺杩瑨戯汴獟慴瑲戯彳慦散╟㐰彤摡⹤整顸Ӻ慦散ᨠ国㸄アタックされたパワーと<|同|おな|>じパワーでガードした,,,PENDING,0.85,0x587E
VG_T_029,FEV_G_S_03.rtz,COMBAT_TUTORIAL,HIGH,EASY,鷲ࢡ獢摟浵祭ꋝꏥ㨋癥湥⽴档⽲歲녟戌彳畤浭役摡੤鿪޹江慯敤ﱲ⋲૊攺敶瑮戯⽧歏쪓┄㈰앤솴◪昺杩瑨戯汴獟慴瑲戯彳慦散╟㐰彤摡⹤整顸Ӻ慦散ᨠ国㸄アタックされたパワーと<|同|おな|>じパワーでガードした<,,,PENDING,0.85,0x5880
VG_T_030,FEV_G_S_03.rtz,COMBAT_TUTORIAL,HIGH,EASY,ࢡ獢摟浵祭ꋝꏥ㨋癥湥⽴档⽲歲녟戌彳畤浭役摡੤鿪޹江慯敤ﱲ⋲૊攺敶瑮戯⽧歏쪓┄㈰앤솴◪昺杩瑨戯汴獟慴瑲戯彳慦散╟㐰彤摡⹤整顸Ӻ慦散ᨠ国㸄アタックされたパワーと<|同|おな|>じパワーでガードした<|,,,PENDING,0.85,0x5882
VG_T_031,FEV_G_S_03.rtz,COMBAT_TUTORIAL,HIGH,EASY,獢摟浵祭ꋝꏥ㨋癥湥⽴档⽲歲녟戌彳畤浭役摡੤鿪޹江慯敤ﱲ⋲૊攺敶瑮戯⽧歏쪓┄㈰앤솴◪昺杩瑨戯汴獟慴瑲戯彳慦散╟㐰彤摡⹤整顸Ӻ慦散ᨠ国㸄アタックされたパワーと<|同|おな|>じパワーでガードした<|場,,,PENDING,0.85,0x5884
VG_T_032,FEV_G_S_03.rtz,COMBAT_TUTORIAL,HIGH,EASY,摟浵祭ꋝꏥ㨋癥湥⽴档⽲歲녟戌彳畤浭役摡੤鿪޹江慯敤ﱲ⋲૊攺敶瑮戯⽧歏쪓┄㈰앤솴◪昺杩瑨戯汴獟慴瑲戯彳慦散╟㐰彤摡⹤整顸Ӻ慦散ᨠ国㸄アタックされたパワーと<|同|おな|>じパワーでガードした<|場合,,,PENDING,0.85,0x5886
VG_T_033,FEV_G_S_03.rtz,COMBAT_TUTORIAL,HIGH,EASY,浵祭ꋝꏥ㨋癥湥⽴档⽲歲녟戌彳畤浭役摡੤鿪޹江慯敤ﱲ⋲૊攺敶瑮戯⽧歏쪓┄㈰앤솴◪昺杩瑨戯汴獟慴瑲戯彳慦散╟㐰彤摡⹤整顸Ӻ慦散ᨠ国㸄アタックされたパワーと<|同|おな|>じパワーでガードした<|場合|,,,PENDING,0.85,0x5888
VG_T_034,FEV_G_S_03.rtz,COMBAT_TUTORIAL,HIGH,EASY,祭ꋝꏥ㨋癥湥⽴档⽲歲녟戌彳畤浭役摡੤鿪޹江慯敤ﱲ⋲૊攺敶瑮戯⽧歏쪓┄㈰앤솴◪昺杩瑨戯汴獟慴瑲戯彳慦散╟㐰彤摡⹤整顸Ӻ慦散ᨠ国㸄アタックされたパワーと<|同|おな|>じパワーでガードした<|場合|ば,,,PENDING,0.85,0x588A
VG_T_035,FEV_G_S_03.rtz,COMBAT_TUTORIAL,HIGH,EASY,ꋝꏥ㨋癥湥⽴档⽲歲녟戌彳畤浭役摡੤鿪޹江慯敤ﱲ⋲૊攺敶瑮戯⽧歏쪓┄㈰앤솴◪昺杩瑨戯汴獟慴瑲戯彳慦散╟㐰彤摡⹤整顸Ӻ慦散ᨠ国㸄アタックされたパワーと<|同|おな|>じパワーでガードした<|場合|ばあ,,,PENDING,0.85,0x588C
VG_T_036,FEV_G_S_03.rtz,COMBAT_TUTORIAL,HIGH,EASY,ꏥ㨋癥湥⽴档⽲歲녟戌彳畤浭役摡੤鿪޹江慯敤ﱲ⋲૊攺敶瑮戯⽧歏쪓┄㈰앤솴◪昺杩瑨戯汴獟慴瑲戯彳慦散╟㐰彤摡⹤整顸Ӻ慦散ᨠ国㸄アタックされたパワーと<|同|おな|>じパワーでガードした<|場合|ばあい,,,PENDING,0.85,0x588E
VG_T_037,FEV_G_S_03.rtz,COMBAT_TUTORIAL,HIGH,EASY,㨋癥湥⽴档⽲歲녟戌彳畤浭役摡੤鿪޹江慯敤ﱲ⋲૊攺敶瑮戯⽧歏쪓┄㈰앤솴◪昺杩瑨戯汴獟慴瑲戯彳慦散╟㐰彤摡⹤整顸Ӻ慦散ᨠ国㸄アタックされたパワーと<|同|おな|>じパワーでガードした<|場合|ばあい|,,,PENDING,0.85,0x5890
VG_T_038,FEV_G_S_03.rtz,COMBAT_TUTORIAL,HIGH,EASY,癥湥⽴档⽲歲녟戌彳畤浭役摡੤鿪޹江慯敤ﱲ⋲૊攺敶瑮戯⽧歏쪓┄㈰앤솴◪昺杩瑨戯汴獟慴瑲戯彳慦散╟㐰彤摡⹤整顸Ӻ慦散ᨠ国㸄アタックされたパワーと<|同|おな|>じパワーでガードした<|場合|ばあい|>,,,PENDING,0.85,0x5892
VG_T_039,FEV_G_S_03.rtz,COMBAT_TUTORIAL,HIGH,EASY,档⽲歲녟戌彳畤浭役摡੤鿪޹江慯敤ﱲ⋲૊攺敶瑮戯⽧歏쪓┄㈰앤솴◪昺杩瑨戯汴獟慴瑲戯彳慦散╟㐰彤摡⹤整顸Ӻ慦散ᨠ国㸄アタックされたパワーと<|同|おな|>じパワーでガードした<|場合|ばあい|>は<|,,,PENDING,0.85,0x5898
VG_T_040,FEV_G_S_03.rtz,COMBAT_TUTORIAL,HIGH,EASY,⽲歲녟戌彳畤浭役摡੤鿪޹江慯敤ﱲ⋲૊攺敶瑮戯⽧歏쪓┄㈰앤솴◪昺杩瑨戯汴獟慴瑲戯彳慦散╟㐰彤摡⹤整顸Ӻ慦散ᨠ国㸄アタックされたパワーと<|同|おな|>じパワーでガードした<|場合|ばあい|>は<|失,,,PENDING,0.85,0x589A
VG_T_041,FEV_G_S_03.rtz,COMBAT_TUTORIAL,HIGH,EASY,歲녟戌彳畤浭役摡੤鿪޹江慯敤ﱲ⋲૊攺敶瑮戯⽧歏쪓┄㈰앤솴◪昺杩瑨戯汴獟慴瑲戯彳慦散╟㐰彤摡⹤整顸Ӻ慦散ᨠ国㸄アタックされたパワーと<|同|おな|>じパワーでガードした<|場合|ばあい|>は<|失敗,,,PENDING,0.85,0x589C
VG_T_042,FEV_G_S_03.rtz,COMBAT_TUTORIAL,HIGH,EASY,녟戌彳畤浭役摡੤鿪޹江慯敤ﱲ⋲૊攺敶瑮戯⽧歏쪓┄㈰앤솴◪昺杩瑨戯汴獟慴瑲戯彳慦散╟㐰彤摡⹤整顸Ӻ慦散ᨠ国㸄アタックされたパワーと<|同|おな|>じパワーでガードした<|場合|ばあい|>は<|失敗|,,,PENDING,0.85,0x589E
VG_T_043,FEV_G_S_03.rtz,COMBAT_TUTORIAL,HIGH,EASY,戌彳畤浭役摡੤鿪޹江慯敤ﱲ⋲૊攺敶瑮戯⽧歏쪓┄㈰앤솴◪昺杩瑨戯汴獟慴瑲戯彳慦散╟㐰彤摡⹤整顸Ӻ慦散ᨠ国㸄アタックされたパワーと<|同|おな|>じパワーでガードした<|場合|ばあい|>は<|失敗|し,,,PENDING,0.85,0x58A0
VG_T_044,FEV_G_S_03.rtz,COMBAT_TUTORIAL,HIGH,EASY,彳畤浭役摡੤鿪޹江慯敤ﱲ⋲૊攺敶瑮戯⽧歏쪓┄㈰앤솴◪昺杩瑨戯汴獟慴瑲戯彳慦散╟㐰彤摡⹤整顸Ӻ慦散ᨠ国㸄アタックされたパワーと<|同|おな|>じパワーでガードした<|場合|ばあい|>は<|失敗|しっ,,,PENDING,0.85,0x58A2
VG_T_045,FEV_G_S_03.rtz,COMBAT_TUTORIAL,HIGH,EASY,畤浭役摡੤鿪޹江慯敤ﱲ⋲૊攺敶瑮戯⽧歏쪓┄㈰앤솴◪昺杩瑨戯汴獟慴瑲戯彳慦散╟㐰彤摡⹤整顸Ӻ慦散ᨠ国㸄アタックされたパワーと<|同|おな|>じパワーでガードした<|場合|ばあい|>は<|失敗|しっぱ,,,PENDING,0.85,0x58A4
VG_T_046,tuto_007.rtz,TUTORIAL,HIGH,EASY,ーガード。アタック,,,PENDING,0.80,0x4CA2
VG_T_047,tuto_007.rtz,TUTORIAL,HIGH,EASY,ガード。アタックが,,,PENDING,0.80,0x4CA4
VG_T_048,tuto_012.rtz,TUTORIAL,HIGH,EASY,>のヴァンガードは、,,,PENDING,0.80,0x2BF7
VG_T_049,tuto_012.rtz,TUTORIAL,HIGH,EASY,のヴァンガードは、,,,PENDING,0.80,0x2BF9
VG_T_050,tuto_012.rtz,TUTORIAL,HIGH,EASY,ヴァンガードは、{,,,PENDING,0.80,0x2BFB
